graph	algo	n	m	gn	gm	rn	rm	offset	time	seed	mem
garon2.mtx.hgr.random100	graphred15	13535	13535	13535	725467	3647	44659	7	0.19979	1002	22528
IMDB.mtx.hgr.random100	graphred15	896308	303617	896308	57064358	0	0	138181	9.46744	1	1071632
IMDB.mtx.hgr.random100	graphred15	896308	303617	896308	57064358	0	0	138181	9.49082	21	1071636
IMDB.mtx.hgr.random100	graphred15	896308	303617	896308	57064358	0	0	138181	9.55419	203	1072224
ISPD98_ibm11.hgr.random100	graphred15	70558	81454	70558	508442	34392	209219	10369	1.34548	1	30720
IMDB.mtx.hgr.random100	graphred15	896308	303617	896308	57064358	0	0	138181	9.55136	1002	1072224
ISPD98_ibm11.hgr.random100	graphred15	70558	81454	70558	508442	34392	209219	10369	1.34177	21	30720
ISPD98_ibm11.hgr.random100	graphred15	70558	81454	70558	508442	34392	209219	10369	1.32760	203	30720
ISPD98_ibm11.hgr.random100	graphred15	70558	81454	70558	508442	34392	209219	10369	1.30992	1002	30720
ISPD98_ibm12.hgr.random100	graphred15	71076	77240	71076	748371	24953	178028	12649	1.40875	1	34816
ISPD98_ibm12.hgr.random100	graphred15	71076	77240	71076	748371	24953	178028	12649	1.42170	21	34816
ISPD98_ibm12.hgr.random100	graphred15	71076	77240	71076	748371	24953	178028	12649	1.38522	203	34816
ISPD98_ibm12.hgr.random100	graphred15	71076	77240	71076	748371	24953	178028	12649	1.37692	1002	34816
kron_g500-logn16.mtx.hgr.random100.rendered	graphred15	65536	55321	65536	486364995	0	0	14103	101.94211	1	7668736
lhr14.mtx.hgr.random100	graphred15	14270	14270	14270	572463	15	20	4307	0.08479	1	19456
kron_g500-logn16.mtx.hgr.random100.rendered	graphred15	65536	55321	65536	486364995	0	0	14103	102.99934	21	7668736
lhr14.mtx.hgr.random100	graphred15	14270	14270	14270	572463	15	20	4307	0.07650	21	19456
lhr14.mtx.hgr.random100	graphred15	14270	14270	14270	572463	15	20	4307	0.07810	203	19456
kron_g500-logn16.mtx.hgr.random100.rendered	graphred15	65536	55321	65536	486364995	0	0	14103	102.45514	203	7668736
lhr14.mtx.hgr.random100	graphred15	14270	14270	14270	572463	15	20	4307	0.07539	1002	19456
kron_g500-logn16.mtx.hgr.random100.rendered	graphred15	65536	55321	65536	486364995	0	0	14103	102.92789	1002	7667712
lp_pds_20.mtx.hgr.random100	graphred15	108175	33798	108175	1325891	60816	626886	6380	0.23951	1	52564
lp_pds_20.mtx.hgr.random100	graphred15	108175	33798	108175	1325891	60816	626886	6380	0.23603	21	53460
lp_pds_20.mtx.hgr.random100	graphred15	108175	33798	108175	1325891	60816	626886	6380	0.23634	203	53460
lp_pds_20.mtx.hgr.random100	graphred15	108175	33798	108175	1325891	60816	626886	6380	0.23544	1002	52560
m14b.mtx.hgr.random100	graphred15	214765	214765	214765	8084826	180553	5759682	0	4.82795	1	270624
msc10848.mtx.hgr.random100	graphred15	10848	10848	10848	3087399	119	282	43	0.58431	1	68608
m14b.mtx.hgr.random100	graphred15	214765	214765	214765	8084826	180553	5759682	0	4.83439	21	270320
msc10848.mtx.hgr.random100	graphred15	10848	10848	10848	3087399	119	282	43	0.59101	21	68608
msc10848.mtx.hgr.random100	graphred15	10848	10848	10848	3087399	119	282	43	0.59332	203	68608
m14b.mtx.hgr.random100	graphred15	214765	214765	214765	8084826	180553	5759682	0	4.80320	203	270628
msc10848.mtx.hgr.random100	graphred15	10848	10848	10848	3087399	119	282	43	0.58673	1002	68608
m14b.mtx.hgr.random100	graphred15	214765	214765	214765	8084826	180553	5759682	0	5.17207	1002	270628
mult_dcop_01.mtx.hgr.random100.rendered	graphred15	25187	25187	25187	259188097	0	0	1540	57.17581	1	4060160
mult_dcop_01.mtx.hgr.random100.rendered	graphred15	25187	25187	25187	259188097	0	0	1540	57.06756	21	4060160
mult_dcop_01.mtx.hgr.random100.rendered	graphred15	25187	25187	25187	259188097	0	0	1540	57.14628	203	4060160
mult_dcop_01.mtx.hgr.random100.rendered	graphred15	25187	25187	25187	259188097	0	0	1540	57.34160	1002	4060160
NotreDame_actors.mtx.hgr.random100	graphred15	127823	383640	127823	20490112	10770	99421	17457	3.64425	1	378880
NotreDame_actors.mtx.hgr.random100	graphred15	127823	383640	127823	20490112	10770	99421	17457	3.59463	21	378880
NotreDame_actors.mtx.hgr.random100	graphred15	127823	383640	127823	20490112	10770	99421	17457	3.57849	203	378880
NotreDame_actors.mtx.hgr.random100	graphred15	127823	383640	127823	20490112	10770	99421	17457	3.55710	1002	378880
pdb1HYS.mtx.hgr.random100	graphred15	36417	36417	36417	9779082	6899	495181	17	3.05162	1	219136
poli3.mtx.hgr.random100	graphred15	16955	16955	16955	350534	0	0	3523	0.03713	1	13312
pdb1HYS.mtx.hgr.random100	graphred15	36417	36417	36417	9779082	6899	495181	17	3.02484	21	219136
poli3.mtx.hgr.random100	graphred15	16955	16955	16955	350534	0	0	3523	0.02645	21	13312
pdb1HYS.mtx.hgr.random100	graphred15	36417	36417	36417	9779082	6899	495181	17	3.03916	203	219136
pdb1HYS.mtx.hgr.random100	graphred15	36417	36417	36417	9779082	6899	495181	17	3.03559	1002	219136
poli3.mtx.hgr.random100	graphred15	16955	16955	16955	350534	0	0	3523	0.03373	203	13312
poli3.mtx.hgr.random100	graphred15	16955	16955	16955	350534	0	0	3523	0.03351	1002	13312
psse2.mtx.hgr.random100	graphred15	11028	28634	11028	41162	18	18	3089	0.01284	1	10240
psse2.mtx.hgr.random100	graphred15	11028	28634	11028	41162	18	18	3089	0.01215	21	10240
psse2.mtx.hgr.random100	graphred15	11028	28634	11028	41162	18	18	3089	0.01275	203	10240
psse2.mtx.hgr.random100	graphred15	11028	28634	11028	41162	18	18	3089	0.01241	1002	10240
rgg_n_2_18_s0.mtx.hgr.random100	graphred15	262144	262141	262144	4458577	150307	1488882	455	7.16575	1	167284
rgg_n_2_18_s0.mtx.hgr.random100	graphred15	262144	262141	262144	4458577	150307	1488882	455	7.27961	21	167236
rgg_n_2_18_s0.mtx.hgr.random100	graphred15	262144	262141	262144	4458577	150307	1488882	455	7.17826	203	166556
sat14_6s11-opt.cnf.hgr.random100	graphred15	66552	97312	66552	161684	4173	6079	28269	0.93468	1	23552
sat14_6s11-opt.cnf.hgr.random100	graphred15	66552	97312	66552	161684	4173	6079	28269	0.93668	21	23552
rgg_n_2_18_s0.mtx.hgr.random100	graphred15	262144	262141	262144	4458577	150307	1488882	455	7.27582	1002	167288
sat14_6s11-opt.cnf.hgr.random100	graphred15	66552	97312	66552	161684	4173	6079	28269	0.92821	203	23552
sat14_6s11-opt.cnf.hgr.random100	graphred15	66552	97312	66552	161684	4173	6079	28269	0.91396	1002	23552
sat14_6s12.cnf.hgr.random100	graphred15	68066	99580	68066	165345	10055	15334	26388	1.01027	1	23552
sat14_6s12.cnf.hgr.random100	graphred15	68066	99580	68066	165345	10055	15334	26388	1.01922	21	23552
sat14_6s12.cnf.hgr.random100	graphred15	68066	99580	68066	165345	10055	15334	26388	1.01016	203	23552
sat14_6s12.cnf.hgr.random100	graphred15	68066	99580	68066	165345	10055	15334	26388	1.01149	1002	23552
