graph	algo	n	m	rn	rm	gm	rgm	seed
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	21995	22143	133638	44039	203
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	21995	22143	133638	44039	1002
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	15793	16236	87393	32700	1
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	15793	16236	87393	32700	21
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	15793	16236	87393	32700	203
sat14_6s16.cnf.primal.hgr.random100	reduce8	31483	91888	15793	16236	87393	32700	1002
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	10980	13984	161898	17833	1
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	10980	13984	161898	17833	21
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	10980	13984	161898	17833	203
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	10980	13984	161898	17833	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	1037403	368559	30673242	10169945	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	1037403	368559	30673242	10169945	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	4497	3843	5967170	16714	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	1037403	368559	30673242	10169945	203
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	1037403	368559	30673242	10169945	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	4497	3843	5967170	16714	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	4497	3843	5967170	16714	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	4497	3843	5967170	16714	1002
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	101583	51141	10738809	2743101	1
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	101583	51141	10738809	2743101	21
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	26977	89104	1163511	196866	1
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	58119	6362	65267498	10746763	1
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	101583	51141	10738809	2743101	203
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	26977	89104	1163511	196866	21
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	58119	6362	65267498	10746763	21
sat14_bob12m09-opt.cnf.dual.hgr.random100	reduce8	152446	51144	101583	51141	10738809	2743101	1002
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	26977	89104	1163511	196866	203
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	58119	6362	65267498	10746763	203
sat14_dated-10-11-u.cnf.hgr.random100	reduce8	283720	629461	26977	89104	1163511	196866	1002
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	reduce8	147853	9495	58119	6362	65267498	10746763	1002
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	50155	209994	2036049	496220	1
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	50155	209994	2036049	496220	21
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	50155	209994	2036049	496220	203
sat14_dated-10-17-u.cnf.hgr.random100	reduce8	459088	1070757	50155	209994	2036049	496220	1002
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	13450	70905	226138	222192	1
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	13450	70905	226138	222192	21
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	127694	131084	713279	272380	1
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	13450	70905	226138	222192	203
sat14_E02F22.cnf.primal.hgr.random100	reduce8	13574	1301188	13450	70905	226138	222192	1002
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	127694	131084	713279	272380	21
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	127694	131084	713279	272380	203
sat14_manol-pipe-c10nid_i.cnf.primal.hgr.random100	reduce8	252516	750877	127694	131084	713279	272380	1002
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	12890	8812	4878256	87671	1
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	12890	8812	4878256	87671	21
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	12890	8812	4878256	87671	203
sat14_MD5-30-5.cnf.dual.hgr.random100	reduce8	68103	8905	12890	8812	4878256	87671	1002
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	67834	83836	11986190	1569168	1
sat14_openstacks-p30_3.085-SAT.cnf.hgr.random100	reduce8	643132	1643601	67834	83836	11986190	1569168	21
