graph	 seed	 red_n	 red_m	 time	 reduction
Chebyshev4.mtx.hgr.random100.rendered	1	0	0	0.00000	unconfined
Chebyshev4.mtx.hgr.random100.rendered	21	68121	68121	0.06242	edge_size
Chebyshev4.mtx.hgr.random100.rendered	21	0	0	0.00000	node_degree_one
Chebyshev4.mtx.hgr.random100.rendered	21	0	0	0.00000	edge_domination
Chebyshev4.mtx.hgr.random100.rendered	21	0	0	0.00000	fast_node_domination
Chebyshev4.mtx.hgr.random100.rendered	21	0	0	0.00000	node_domination
Chebyshev4.mtx.hgr.random100.rendered	21	0	0	0.00000	twin
Chebyshev4.mtx.hgr.random100.rendered	21	0	0	0.00000	unconfined
Chebyshev4.mtx.hgr.random100.rendered	203	68121	68121	0.06231	edge_size
Chebyshev4.mtx.hgr.random100.rendered	203	0	0	0.00000	node_degree_one
Chebyshev4.mtx.hgr.random100.rendered	203	0	0	0.00000	edge_domination
Chebyshev4.mtx.hgr.random100.rendered	203	0	0	0.00000	fast_node_domination
Chebyshev4.mtx.hgr.random100.rendered	203	0	0	0.00000	node_domination
Chebyshev4.mtx.hgr.random100.rendered	203	0	0	0.00000	twin
Chebyshev4.mtx.hgr.random100.rendered	203	0	0	0.00000	unconfined
Chebyshev4.mtx.hgr.random100.rendered	1002	68121	68121	0.06183	edge_size
Chebyshev4.mtx.hgr.random100.rendered	1002	0	0	0.00000	node_degree_one
Chebyshev4.mtx.hgr.random100.rendered	1002	0	0	0.00000	edge_domination
Chebyshev4.mtx.hgr.random100.rendered	1002	0	0	0.00000	fast_node_domination
Chebyshev4.mtx.hgr.random100.rendered	1002	0	0	0.00000	node_domination
Chebyshev4.mtx.hgr.random100.rendered	1002	0	0	0.00000	twin
Chebyshev4.mtx.hgr.random100.rendered	1002	0	0	0.00000	unconfined
Chem97Zt.mtx.hgr.random100.rendered	1	0	1844	0.00012	edge_size
Chem97Zt.mtx.hgr.random100.rendered	1	31022	131	0.00219	node_degree_one
Chem97Zt.mtx.hgr.random100.rendered	1	0	566	0.00046	edge_domination
Chem97Zt.mtx.hgr.random100.rendered	1	0	0	0.00022	fast_node_domination
Chem97Zt.mtx.hgr.random100.rendered	1	0	0	0.00019	node_domination
Chem97Zt.mtx.hgr.random100.rendered	1	0	0	0.00198	twin
Chem97Zt.mtx.hgr.random100.rendered	1	0	0	0.00195	unconfined
Chem97Zt.mtx.hgr.random100.rendered	21	0	1844	0.00011	edge_size
Chem97Zt.mtx.hgr.random100.rendered	21	31022	131	0.00218	node_degree_one
Chem97Zt.mtx.hgr.random100.rendered	21	0	566	0.00046	edge_domination
Chem97Zt.mtx.hgr.random100.rendered	21	0	0	0.00022	fast_node_domination
Chem97Zt.mtx.hgr.random100.rendered	21	0	0	0.00019	node_domination
Chem97Zt.mtx.hgr.random100.rendered	21	0	0	0.00197	twin
Chem97Zt.mtx.hgr.random100.rendered	21	0	0	0.00195	unconfined
Chem97Zt.mtx.hgr.random100.rendered	203	0	1844	0.00006	edge_size
Chem97Zt.mtx.hgr.random100.rendered	203	31022	131	0.00116	node_degree_one
Chem97Zt.mtx.hgr.random100.rendered	203	0	566	0.00025	edge_domination
Chem97Zt.mtx.hgr.random100.rendered	203	0	0	0.00012	fast_node_domination
Chem97Zt.mtx.hgr.random100.rendered	203	0	0	0.00010	node_domination
Chem97Zt.mtx.hgr.random100.rendered	203	0	0	0.00106	twin
Chem97Zt.mtx.hgr.random100.rendered	203	0	0	0.00105	unconfined
Chem97Zt.mtx.hgr.random100.rendered	1002	0	1844	0.00012	edge_size
Chem97Zt.mtx.hgr.random100.rendered	1002	31022	131	0.00219	node_degree_one
Chem97Zt.mtx.hgr.random100.rendered	1002	0	566	0.00046	edge_domination
Chem97Zt.mtx.hgr.random100.rendered	1002	0	0	0.00022	fast_node_domination
Chem97Zt.mtx.hgr.random100.rendered	1002	0	0	0.00018	node_domination
Chem97Zt.mtx.hgr.random100.rendered	1002	0	0	0.00197	twin
Chem97Zt.mtx.hgr.random100.rendered	1002	0	0	0.00195	unconfined
crystk02.mtx.hgr.random100.lg.metis	1	0	0	0.00014	edge_size
crystk02.mtx.hgr.random100.lg.metis	1	1941903	0	0.03564	node_degree_one
crystk02.mtx.hgr.random100.lg.metis	1	0	0	0.16526	edge_domination
crystk02.mtx.hgr.random100.lg.metis	1	0	0	0.21053	fast_node_domination
crystk02.mtx.hgr.random100.lg.metis	1	13965	420	5.76954	node_domination
crystk02.mtx.hgr.random100.lg.metis	1	0	0	0.06720	twin
crystk02.mtx.hgr.random100.lg.metis	1	0	0	1.22163	unconfined
crystk02.mtx.hgr.random100.lg.metis	21	0	0	0.00013	edge_size
crystk02.mtx.hgr.random100.lg.metis	21	1941903	0	0.03556	node_degree_one
crystk02.mtx.hgr.random100.lg.metis	21	0	0	0.16392	edge_domination
crystk02.mtx.hgr.random100.lg.metis	21	0	0	0.19295	fast_node_domination
crystk02.mtx.hgr.random100.lg.metis	21	13965	420	5.89192	node_domination
crystk02.mtx.hgr.random100.lg.metis	21	0	0	0.06695	twin
crystk02.mtx.hgr.random100.lg.metis	21	0	0	1.21162	unconfined
crystk02.mtx.hgr.random100.lg.metis	203	0	0	0.00014	edge_size
crystk02.mtx.hgr.random100.lg.metis	203	1941903	0	0.03551	node_degree_one
crystk02.mtx.hgr.random100.lg.metis	203	0	0	0.16614	edge_domination
crystk02.mtx.hgr.random100.lg.metis	203	0	0	0.20660	fast_node_domination
crystk02.mtx.hgr.random100.lg.metis	203	13965	420	5.81272	node_domination
crystk02.mtx.hgr.random100.lg.metis	203	0	0	0.06692	twin
crystk02.mtx.hgr.random100.lg.metis	203	0	0	1.22040	unconfined
crystk02.mtx.hgr.random100.lg.metis	1002	0	0	0.00014	edge_size
crystk02.mtx.hgr.random100.lg.metis	1002	1941903	0	0.03561	node_degree_one
crystk02.mtx.hgr.random100.lg.metis	1002	0	0	0.16565	edge_domination
crystk02.mtx.hgr.random100.lg.metis	1002	0	0	0.20683	fast_node_domination
crystk02.mtx.hgr.random100.lg.metis	1002	13965	420	5.91335	node_domination
crystk02.mtx.hgr.random100.lg.metis	1002	0	0	0.06692	twin
crystk02.mtx.hgr.random100.lg.metis	1002	0	0	1.21882	unconfined
dac2012_superblue11.hgr.random100	1	0	637047	0.02127	edge_size
