graph	algo	n	m	e	rn	rm	re	offset	time	seed
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	2.76415	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce9	29194	7729	9.98	4497	3843	2.41	1305	2.74799	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce10	29194	7729	9.98	4479	3825	2.41	1314	3.01572	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce11	29194	7729	9.98	4497	3843	2.41	1305	2.75686	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce15	29194	7729	9.98	16501	7686	4.60	18	0.19917	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce13	29194	7729	9.98	4497	3843	2.41	1305	2.76276	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce1	29194	7729	9.98	29194	7729	9.98	0	0.00616	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce14	29194	7729	9.98	4497	3843	2.41	1305	2.75860	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce12	29194	7729	9.98	4497	3843	2.41	1305	4.79997	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce2	29194	7729	9.98	28992	7728	9.90	1	0.00675	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce3	29194	7729	9.98	29194	7729	9.98	0	0.01431	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce7	29194	7729	9.98	5390	2884	2.56	0	12.27349	1
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce4	29194	7729	9.98	16509	7690	4.60	18	0.03642	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce6	29194	7729	9.98	29194	7729	9.98	0	0.44620	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce5	29194	7729	9.98	16542	7705	4.60	0	1.98876	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	2.75673	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce9	29194	7729	9.98	4497	3843	2.41	1305	2.74172	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce10	29194	7729	9.98	4479	3825	2.41	1314	2.93996	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce11	29194	7729	9.98	4497	3843	2.41	1305	2.76169	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce13	29194	7729	9.98	4497	3843	2.41	1305	2.71179	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce15	29194	7729	9.98	16501	7686	4.60	18	0.20164	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce12	29194	7729	9.98	4497	3843	2.41	1305	4.49602	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce14	29194	7729	9.98	4497	3843	2.41	1305	2.75656	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce1	29194	7729	9.98	29194	7729	9.98	0	0.00647	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce2	29194	7729	9.98	28992	7728	9.90	1	0.00710	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce3	29194	7729	9.98	29194	7729	9.98	0	0.01208	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce7	29194	7729	9.98	5390	2884	2.56	0	12.31715	21
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce4	29194	7729	9.98	16509	7690	4.60	18	0.02995	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce6	29194	7729	9.98	29194	7729	9.98	0	0.45040	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce5	29194	7729	9.98	16542	7705	4.60	0	2.07329	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce8	29194	7729	9.98	4497	3843	2.41	1305	2.96191	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce9	29194	7729	9.98	4497	3843	2.41	1305	2.74142	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce10	29194	7729	9.98	4479	3825	2.41	1314	2.73754	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce11	29194	7729	9.98	4497	3843	2.41	1305	2.74865	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce15	29194	7729	9.98	16501	7686	4.60	18	0.19627	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce13	29194	7729	9.98	4497	3843	2.41	1305	2.75338	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce1	29194	7729	9.98	29194	7729	9.98	0	0.00620	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce12	29194	7729	9.98	4497	3843	2.41	1305	4.54614	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce14	29194	7729	9.98	4497	3843	2.41	1305	2.72785	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce2	29194	7729	9.98	28992	7728	9.90	1	0.00672	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce3	29194	7729	9.98	29194	7729	9.98	0	0.01441	1002
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce7	29194	7729	9.98	5390	2884	2.56	0	12.36276	203
sat14_AProVE07-27.cnf.dual.hgr.random100	reduce4	29194	7729	9.98	16509	7690	4.60	18	0.03702	1002
